listing_id,source_url,listing_url,extraction_timestamp,detection_timestamp,data_quality_score,year,year_confidence,price,price_confidence,mileage,mileage_confidence,model_trim,model_trim_confidence,exterior_color,interior_color,exterior_color_confidence,interior_color_confidence,source,source_confidence,total_options,total_options_value,total_options_msrp,options_categories,options_list,fair_value_usd,fair_value_calculation,asking_price_usd,deal_delta_usd,deal_percentage,deal_quality
21,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2009&model=boxster&transmission=auto&zip=30214,https://www.cars.com/vehicledetail/c2112af7-00a0-49bf-9278-d9e6f627d93e/?aff=atempst&utm_campaign=atempst&utm_source=autotempest&utm_medium=trp&utm_campaign_id=1&utm_trusted=TRUE,2025-08-30T15:32:06.217600,2025-08-30T15:32:06.410855,1.0,2011,1.0,"$32,999",1.0,"80,000",1.0,Boxster Base,1.0,Silver,Black,1.0,1.0,AutoTempest,1.0,0,0,0,,,29700,"{'base_value': 30500, 'year_adjustment': 500, 'model_premium': 0, 'mileage_adjustment': -1500, 'color_premium': 200, 'calculation_timestamp': '2025-08-30T15:32:07.126871'}",32999,-3299,-11.107744107744107,Overpriced
22,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2009&model=boxster&transmission=auto&zip=30214,https://www.cars.com/vehicledetail/571de632-1f0c-428d-808c-a1e93e992e13/?aff=atempest&utm_campaign=atempest&utm_source=autotempest&utm_medium=trp&utm_campaign_id=1&utm_trusted=TRUE,2025-08-30T15:32:06.217683,2025-08-30T15:32:06.411745,1.0,2012,1.0,"$19,499",1.0,"105,081",1.0,Boxster Base,1.0,Black,Black,1.0,1.0,AutoTempest,1.0,0,2400,10650,"performance, exterior, seating, technology","Sport Exhaust (PSE), Bi-Xenon Headlights with Dynamic Cornering, 18–19"" Upgraded Wheels, Sport Seats / Adaptive Sport Seats, PCM w/ Navigation, Heated Seats",29500,"{'base_value': 30500, 'year_adjustment': 0, 'model_premium': 0, 'mileage_adjustment': -1500, 'color_premium': 500, 'calculation_timestamp': '2025-08-30T15:32:07.126880'}",19499,10001,33.90169491525424,Excellent Deal
23,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2009&model=boxster&transmission=auto&zip=30214,https://www.ebay.com/itm/397004628813?hash=item5c6f51e34d%3Ag%3AjRsAAeSwVYFosTfC&mkevt=1&mkcid=1&mkrid=711-53200-19255-0&campid=5337650957&customid=&toolid=10049,2025-08-30T15:32:06.217761,2025-08-30T15:32:06.427613,0.8571428571428571,2011,1.0,"$23,000",1.0,"101,234",1.0,Unknown,0.0,Red,Tan,1.0,1.0,AutoTempest,1.0,0,550,2000,"exterior, seating","18–19"" Upgraded Wheels, Heated Seats",29500,"{'base_value': 30500, 'year_adjustment': 500, 'model_premium': 0, 'mileage_adjustment': -1500, 'color_premium': 0, 'calculation_timestamp': '2025-08-30T15:32:07.126889'}",23000,6500,22.033898305084744,Excellent Deal
24,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2009&model=boxster&transmission=auto&zip=30214,https://www.ebay.com/itm/306474095938?hash=item475b479542%3Ag%3ABv4AAOSwQS9oWly0&mkevt=1&mkcid=1&mkrid=711-53200-19255-0&campid=5337650957&customid=&toolid=10049,2025-08-30T15:32:06.218098,2025-08-30T15:32:06.429819,1.0,2009,1.0,"$14,995",1.0,"103,617",1.0,Boxster Base,1.0,Gray,Black,1.0,1.0,AutoTempest,1.0,0,0,0,,,30700,"{'base_value': 30500, 'year_adjustment': 1500, 'model_premium': 0, 'mileage_adjustment': -1500, 'color_premium': 200, 'calculation_timestamp': '2025-08-30T15:32:07.126924'}",14995,15705,51.15635179153094,Excellent Deal
25,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2009&model=boxster&transmission=auto&zip=30214,https://www.truecar.com/used-cars-for-sale/listing/WP0CB298X9U730175/?referrer_id=autotempest,2025-08-30T15:32:06.218244,2025-08-30T15:32:06.430934,1.0,2009,1.0,"$29,990",1.0,"58,616",1.0,Boxster S,1.0,Aqua Blue Metallic,Black,1.0,1.0,AutoTempest,1.0,0,0,0,,,31700,"{'base_value': 30500, 'year_adjustment': 1500, 'model_premium': 0, 'mileage_adjustment': -500, 'color_premium': 200, 'calculation_timestamp': '2025-08-30T15:32:07.126940'}",29990,1710,5.394321766561514,Excellent Deal
26,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2009&model=boxster&transmission=auto&zip=30214,https://www.truecar.com/used-cars-for-sale/listing/WP0CB2A85BS730081/?referrer_id=autotempest,2025-08-30T15:32:06.218328,2025-08-30T15:32:06.432088,1.0,2011,1.0,"$29,990",1.0,"100,159",1.0,Boxster S,1.0,Black,Black,1.0,1.0,AutoTempest,1.0,0,0,0,,,30000,"{'base_value': 30500, 'year_adjustment': 500, 'model_premium': 0, 'mileage_adjustment': -1500, 'color_premium': 500, 'calculation_timestamp': '2025-08-30T15:32:07.126950'}",29990,10,0.03333333333333333,Good Deal
27,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2009&model=boxster&transmission=auto&zip=30214,https://www.truecar.com/used-cars-for-sale/listing/WP0CB2A87AS730095/?referrer_id=autotempest,2025-08-30T15:32:06.218411,2025-08-30T15:32:06.433165,1.0,2010,1.0,"$33,700",1.0,"39,587",1.0,Boxster S,1.0,Gt Silver Metallic,Black,1.0,1.0,AutoTempest,1.0,0,0,0,,,31700,"{'base_value': 30500, 'year_adjustment': 1000, 'model_premium': 0, 'mileage_adjustment': 0, 'color_premium': 200, 'calculation_timestamp': '2025-08-30T15:32:07.126959'}",33700,-2000,-6.309148264984227,Overpriced
28,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2009&model=boxster&transmission=auto&zip=30214,https://www.truecar.com/used-cars-for-sale/listing/WP0CA29899U710776/?referrer_id=autotempest,2025-08-30T15:32:06.218492,2025-08-30T15:32:06.434416,1.0,2009,1.0,"$27,990",1.0,"59,236",1.0,Boxster S,1.0,Midnight Blue Metallic,Black,1.0,1.0,AutoTempest,1.0,0,0,0,,,31700,"{'base_value': 30500, 'year_adjustment': 1500, 'model_premium': 0, 'mileage_adjustment': -500, 'color_premium': 200, 'calculation_timestamp': '2025-08-30T15:32:07.126968'}",27990,3710,11.703470031545741,Excellent Deal
29,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2008&minyear=2005&model=boxster&transmission=auto&zip=30214,https://www.cars.com/vehicledetail/3ea509cf-987a-4a97-8917-ccaf47826c00/?aff=atempest&utm_campaign=atempest&utm_source=autotempest&utm_medium=trp&utm_campaign_id=1&utm_trusted=TRUE,2025-08-30T15:32:06.218630,2025-08-30T15:32:06.435592,1.0,2008,1.0,"$29,900",1.0,"47,187",1.0,Boxster S,1.0,Orange,BLACK,1.0,1.0,AutoTempest,1.0,0,4000,13425,"performance, exterior, technology, seating","Sport Exhaust (PSE), Bi-Xenon Headlights with Dynamic Cornering, 18–19"" Upgraded Wheels, Sport Chrono Package Plus, BOSE Surround Sound, PCM w/ Navigation, Heated Seats, PASM",32700,"{'base_value': 30500, 'year_adjustment': 2000, 'model_premium': 0, 'mileage_adjustment': 0, 'color_premium': 200, 'calculation_timestamp': '2025-08-30T15:32:07.126976'}",29900,2800,8.56269113149847,Excellent Deal
30,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2008&minyear=2005&model=boxster&transmission=auto&zip=30214,https://www.cars.com/vehicledetail/9f626141-ad85-4849-a4b3-2220e21cd082/?aff=atempest&utm_campaign=atempest&utm_source=autotempest&utm_medium=trp&utm_campaign_id=1&utm_trusted=TRUE,2025-08-30T15:32:06.218745,2025-08-30T15:32:06.446293,1.0,2006,1.0,"$28,995",1.0,"20,032",1.0,Boxster Base,1.0,Black,Black,1.0,1.0,AutoTempest,1.0,0,2000,8790,"performance, exterior, seating, technology","Sport Exhaust (PSE), 18–19"" Upgraded Wheels, Sport Seats / Adaptive Sport Seats, PCM w/ Navigation",35000,"{'base_value': 30500, 'year_adjustment': 3000, 'model_premium': 0, 'mileage_adjustment': 1000, 'color_premium': 500, 'calculation_timestamp': '2025-08-30T15:32:07.126986'}",28995,6005,17.15714285714286,Excellent Deal
