scraping_id,source_url,scraping_status,validation_status,validation_score,scraping_timestamp
53,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2016&minyear=2009&model=boxster&transmission=auto&zip=30214,success,invalid,0,2025-10-27T14:58:57.159458
54,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2016&minyear=2009&model=boxster&transmission=auto&zip=30214,success,invalid,0,2025-10-27T14:58:59.427160
55,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2016&minyear=2009&model=boxster&transmission=auto&zip=30214,success,invalid,0,2025-10-27T14:59:01.791808
56,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2016&minyear=2009&model=boxster&transmission=auto&zip=30214,success,invalid,0,2025-10-27T14:59:04.696711
57,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2016&minyear=2009&model=boxster&transmission=auto&zip=30214,success,invalid,0,2025-10-27T14:59:06.753835
58,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2016&minyear=2009&model=boxster&transmission=auto&zip=30214,success,invalid,0,2025-10-27T14:59:09.890393
59,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2016&minyear=2009&model=boxster&transmission=auto&zip=30214,success,invalid,0,2025-10-27T14:59:10.903635
60,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2016&minyear=2009&model=boxster&transmission=auto&zip=30214,success,invalid,0,2025-10-27T14:59:14.009960
61,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2016&minyear=2009&model=boxster&transmission=auto&zip=30214,success,invalid,0,2025-10-27T14:59:15.833352
62,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2016&minyear=2009&model=boxster&transmission=auto&zip=30214,success,invalid,0,2025-10-27T14:59:18.319549
63,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2016&minyear=2009&model=boxster&transmission=auto&zip=30214,success,invalid,0,2025-10-27T14:59:19.953443
64,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2016&minyear=2009&model=boxster&transmission=auto&zip=30214,success,invalid,0,2025-10-27T14:59:23.222709
65,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2016&minyear=2009&model=boxster&transmission=auto&zip=30214,success,invalid,0,2025-10-27T14:59:25.074652
66,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2016&minyear=2009&model=boxster&transmission=auto&zip=30214,success,invalid,0,2025-10-27T14:59:28.835446
67,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2016&minyear=2009&model=boxster&transmission=auto&zip=30214,success,invalid,0,2025-10-27T14:59:29.458293
68,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2016&minyear=2009&model=boxster&transmission=auto&zip=30214,success,invalid,0,2025-10-27T14:59:33.854500
69,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2016&minyear=2009&model=boxster&transmission=auto&zip=30214,success,invalid,0,2025-10-27T14:59:34.616731
70,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2016&minyear=2009&model=boxster&transmission=auto&zip=30214,success,invalid,0,2025-10-27T14:59:40.041442
71,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2016&minyear=2009&model=boxster&transmission=auto&zip=30214,success,invalid,0,2025-10-27T14:59:40.045417
72,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2016&minyear=2009&model=boxster&transmission=auto&zip=30214,success,invalid,0,2025-10-27T14:59:44.968853
73,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2016&minyear=2009&model=boxster&transmission=auto&zip=30214,success,invalid,0,2025-10-27T14:59:45.004335
75,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2016&minyear=2009&model=boxster&transmission=auto&zip=30214,success,invalid,0,2025-10-27T14:59:48.896073
74,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2016&minyear=2009&model=boxster&transmission=auto&zip=30214,success,invalid,0,2025-10-27T14:59:48.899765
76,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2016&minyear=2009&model=boxster&transmission=auto&zip=30214,success,invalid,0,2025-10-27T14:59:52.447069
77,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2016&minyear=2009&model=boxster&transmission=auto&zip=30214,success,invalid,0,2025-10-27T15:00:00.232864
78,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2016&minyear=2009&model=boxster&transmission=auto&zip=30214,success,invalid,0,2025-10-27T15:00:03.552876
79,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2016&minyear=2009&model=boxster&transmission=auto&zip=30214,success,invalid,0,2025-10-27T15:00:11.078475
80,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2016&minyear=2009&model=boxster&transmission=auto&zip=30214,success,invalid,0,2025-10-27T15:00:15.137929
81,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2016&minyear=2009&model=boxster&transmission=auto&zip=30214,success,invalid,0,2025-10-27T15:00:15.444521
82,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2016&minyear=2009&model=boxster&transmission=auto&zip=30214,success,invalid,0,2025-10-27T15:00:19.801623
83,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2016&minyear=2009&model=boxster&transmission=auto&zip=30214,success,invalid,0,2025-10-27T15:00:19.994682
84,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2016&minyear=2009&model=boxster&transmission=auto&zip=30214,success,invalid,0,2025-10-27T15:00:24.116662
85,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2016&minyear=2009&model=boxster&transmission=auto&zip=30214,success,invalid,0,2025-10-27T15:00:38.617177
86,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2016&minyear=2009&model=boxster&transmission=auto&zip=30214,success,invalid,0,2025-10-27T15:00:42.522595
87,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2016&minyear=2009&model=boxster&transmission=auto&zip=30214,success,invalid,0,2025-10-27T15:00:57.003742
89,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2016&minyear=2009&model=boxsters&transmission=auto&zip=30214,success,invalid,0,2025-10-27T15:01:00.534785
88,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2016&minyear=2009&model=boxster&transmission=auto&zip=30214,success,invalid,0,2025-10-27T15:01:00.800800
90,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2016&minyear=2009&model=boxsters&transmission=auto&zip=30214,success,invalid,0,2025-10-27T15:01:05.236040
91,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2016&minyear=2009&model=boxsters&transmission=auto&zip=30214,success,invalid,0,2025-10-27T15:01:05.240716
92,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2016&minyear=2009&model=boxsters&transmission=auto&zip=30214,success,invalid,0,2025-10-27T15:01:10.886757
93,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2016&minyear=2009&model=boxsters&transmission=auto&zip=30214,success,invalid,0,2025-10-27T15:01:10.890892
95,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2016&minyear=2009&model=boxsters&transmission=auto&zip=30214,success,invalid,0,2025-10-27T15:01:16.347217
94,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2016&minyear=2009&model=boxsters&transmission=auto&zip=30214,success,invalid,0,2025-10-27T15:01:16.422829
96,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2016&minyear=2009&model=boxsters&transmission=auto&zip=30214,success,invalid,0,2025-10-27T15:01:21.141728
97,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2016&minyear=2009&model=boxsters&transmission=auto&zip=30214,success,invalid,0,2025-10-27T15:01:21.274919
98,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2016&minyear=2009&model=boxsters&transmission=auto&zip=30214,success,invalid,0,2025-10-27T15:01:26.662983
99,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2016&minyear=2009&model=boxsters&transmission=auto&zip=30214,success,invalid,0,2025-10-27T15:01:26.712819
100,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2016&minyear=2009&model=boxsters&transmission=auto&zip=30214,success,invalid,0,2025-10-27T15:01:31.553166
101,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2016&minyear=2009&model=boxsters&transmission=auto&zip=30214,success,invalid,0,2025-10-27T15:01:31.589596
102,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2016&minyear=2009&model=boxsters&transmission=auto&zip=30214,success,invalid,0,2025-10-27T15:01:36.550876
103,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2016&minyear=2009&model=boxsters&transmission=auto&zip=30214,success,invalid,0,2025-10-27T15:01:36.554647
104,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2016&minyear=2009&model=boxsters&transmission=auto&zip=30214,success,invalid,0,2025-10-27T15:01:42.449964
105,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2016&minyear=2009&model=boxsters&transmission=auto&zip=30214,success,invalid,0,2025-10-27T15:01:42.453824
107,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2016&minyear=2009&model=boxsters&transmission=auto&zip=30214,success,invalid,0,2025-10-27T15:01:48.167624
106,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2016&minyear=2009&model=boxsters&transmission=auto&zip=30214,success,invalid,0,2025-10-27T15:01:48.185119
109,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2016&minyear=2009&model=boxsters&transmission=auto&zip=30214,success,invalid,0,2025-10-27T15:01:54.259437
108,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2016&minyear=2009&model=boxsters&transmission=auto&zip=30214,success,invalid,0,2025-10-27T15:01:54.263707
111,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2016&minyear=2009&model=boxsters&transmission=auto&zip=30214,success,invalid,0,2025-10-27T15:02:00.270953
110,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2016&minyear=2009&model=boxsters&transmission=auto&zip=30214,success,invalid,0,2025-10-27T15:02:00.365404
